Bratislavský kraj,,
,,
Bratislava I ,,
,,
Stanislav Križan,"ANO,HZD,SF,SMER",3 495
Augustín Pullmann,"DS,KDH,SDKÚ",3 142
,,
Trenčiansky kraj,,
,,
Bánovce nad Bebravou ,,
,,
Zuzana Máčeková,"ANO,ĽS-HZDS,P SNS,ZSNS",1 429
Ladislav Kšiňan,"HZD,KDH,SF,SNS,SMER",1 162
Peter Bulík,"ANO,ĽS-HZDS,P SNS,ZSNS",1 137
,,
Ilava ,,
,,
Pavol Čiernik,"HZD,KDH,SF,SNS,SMER",1 656
Mária Zimanová,"HZD,KDH,SF,SNS,SMER",1 263
Anna Chalupková,"ANO,ĽS-HZDS,P SNS,ZSNS",1 242
Marián Brídik,"ANO,ĽS-HZDS,P SNS,ZSNS",1 221
Anton Vanko,"HZD,KDH,SF,SNS,SMER",1 060
,,
Myjava ,,
,,
Jaroslav Ferianec,"ANO,ĽS-HZDS,P SNS,ZSNS",759
Henrich Gašparík,"HZD,KDH,SF,SNS,SMER",634
,,
Nové Mesto nad Váhom ,,
,,
Jozef Trstenský,"ANO,ĽS-HZDS,P SNS,ZSNS",2 190
Anna Halinárová,"HZD,KDH,SF,SNS,SMER",1 450
Viera Vienerová,"ANO,ĽS-HZDS,P SNS,ZSNS",1 392
Ivan Sádovský,"HZD,KDH,SF,SNS,SMER",1 343
Mária Cagalová,NEKA,1 293
,,
Partizánske ,,
,,
Anton Stanko,"HZD,KDH,SF,SNS,SMER",1 522
Jozef Božik,"ANO,ĽS-HZDS,P SNS,ZSNS",1 348
Iveta Randziaková,"HZD,KDH,SF,SNS,SMER",1 175
Mária Hazuchová,"ANO,ĽS-HZDS,P SNS,ZSNS",1 153
,,
Považská Bystrica ,,
,,
Miroslav Adame,"HZD,KDH,SF,SNS,SMER",1 815
Vladimír Bačík,"HZD,KDH,SF,SNS,SMER",1 454
Pavol Jurčík,"ANO,ĽS-HZDS,P SNS,ZSNS",1 361
Viera Zboranová,"ANO,ĽS-HZDS,P SNS,ZSNS",1 354
Amália Ondičová,"ANO,ĽS-HZDS,P SNS,ZSNS",1 277
,,
Prievidza ,,
,,
Eleonóra Porubcová,"HZD,KDH,SF,SNS,SMER",3 526
Ján Cipov,"HZD,KDH,SF,SNS,SMER",3 422
Michal Mladý,"HZD,KDH,SF,SNS,SMER",3 136
Gabriel Šimko,"HZD,KDH,SF,SNS,SMER",3 085
Vojtech Čičmanec,"ANO,ĽS-HZDS,P SNS,ZSNS",2 933
Jaroslav Izák,"HZD,KDH,SF,SNS,SMER",2 608
Ján Mokrý,"HZD,KDH,SF,SNS,SMER",2 566
Vladimír Buzalka,"HZD,KDH,SF,SNS,SMER",2 539
Emil Mendel,"ANO,ĽS-HZDS,P SNS,ZSNS",2 459
Luboš Beňo,"DS,SDKÚ",2 397
,,
