Bratislavský kraj,,
,,
Volebný obvod č. 1,,
 , , 
Martin Berta,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","3,654"
Ivan Bielik,ĽS Naše Slovensko,890
Radomír Bučák,NEKA,"1,598"
Jana Cigániková,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","3,576"
Mária Dubčeková,SMER - SD,"2,267"
Vladimír Dulla,NEKA,"1,773"
Alena Dušatková,99%,392
Ján Garaj,SNS,651
Iveta Hanulíková,SMER - SD,"2,969"
Viera Haruštiaková,PD,515
Vladislav Hečko,NOVA,"1,516"
Jaroslav Hrubý,NP,171
Michal Hušek,KDS,475
Juraj Kadnár,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","3,448"
Andrej Kovarik,"Zmena zdola, DÚ","1,220"
Ľuboš Krajčír,NOVA,"1,141"
Peter Mikletič,99%,362
Karol Ondriáš,KSS,698
František Palko,SMER - SD,"1,745"
Igor Strasser,NaS - ns,352
Denis Svoboda,"Zmena zdola, DÚ",494
Jaromír Šíbl,"Zmena zdola, DÚ","1,729"
,,
Volebný obvod č. 7,,
 , , 
Beáta Bohunická,SMER - SD,"1,667"
Miroslav Černý,NaS - ns,201
Erika Ďuricová,NOVA,885
Andrea Farkašová,NP,251
Ladislav Gáborík,ĽS Naše Slovensko,331
Peter Hanulík,SMER - SD,"1,896"
Jozef Harman,SMS,255
Milan Hlinka,NEKA,856
Jozef Hrabina,SNS,544
Kornélia Jelašičová,NOVA,788
Juraj Káčer,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","3,290"
Rastislav Kevický,SNS,384
Peter Kmeť,NEKA,600
Rudolf Liška,SMS,135
Ján Mihálik,SNS,319
Radoslav Olekšák,SMER - SD,"1,778"
Juraj Pogány,SMS,125
Rudolf Poruban,NOVA,"1,788"
Monika Procházková,NEKA,882
Miroslav Rašman,NEKA,291
Martin Režňák,NP,136
Miloš Sitár,NP,128
Anna Somorovská,SĽS,197
Peter Šramko,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","3,461"
Martin Zaťovič,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","4,083"
,,
Volebný obvod č. 8,,
 , , 
Ivana Antošová,SMER - SD,"2,827"
Miriam Benešová,SDĽ,467
Zdenka Beňová,ĽS Naše Slovensko,611
Andrea Bratislavská,SMER - SD,"2,313"
Miloš Černák,SNS,596
Stanislav Čižmárik,NÁŠ KRAJ,302
Ľubor Čuda,NÁŠ KRAJ,272
Anton Čulen,MS,"1,475"
Eduard Demel,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","4,363"
Karol Fajnor,SDĽ,"1,140"
Ľudmila Farkašovská,SMER - SD,"3,249"
Gabriela Ferenčáková,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","4,228"
Mária Fratričová,NOVA,"1,975"
Eva Gašparíková,NaS - ns,474
Miloš Gloznek,NEKA,"1,182"
Tibor Gódány,NP,210
Marián Greksa,NOVA,"3,573"
Ján Gréner,SNS,634
Henrich Haščák,NOVA,"1,839"
Július Hauser,NaS - ns,500
Ján Havlík,NP,243
Peter Hochschorner,"Zmena zdola, DÚ","3,940"
Ľuboš Homola,"Zmena zdola, DÚ","1,787"
Peter Hopjak,NP,290
Ján Hrčka,NEKA,"3,058"
Marián Chmelár,ĽS Naše Slovensko,468
Alena Chudíková,"Zmena zdola, DÚ","1,990"
Ľubica Janegová,NOVA,"1,748"
Mária Javoreková,NP,473
Martin Jóna,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","3,513"
Darina Jurčacková,SMS,332
Róbert Kalmár,SDĽ,611
Ján Karman,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","4,068"
Vladimír Kesegh,SMER - SD,"2,204"
Vladimír Kopča,SDĽ,432
Ján Kordoš,SNS,551
Jozef Krajča,SMER - SD,"1,875"
Eva Krnáčová,"Zmena zdola, DÚ","1,354"
Jana Lachkovičová,PD,285
Daniela Lengyelová,SMER - SD,"2,329"
Ivan Lučanič,KDS,"1,280"
Ivan Lulják,KSS,563
Peter Mach,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","4,105"
Marek Máchal,MS,544
Peter Marček,SOSKA,402
Dominika Marošiová,NP,440
Roman Masár,SMER - SD,"2,820"
Tatiana Mikušová,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","4,415"
Martin Miškov,NOVA,"2,808"
Daniel Moško,NOVA,"1,461"
Beata Novomeská,NEKA,"1,225"
Viliam Ovsepian,NOVA,933
Elena Pätoprstá,"Zmena zdola, DÚ","4,075"
Iveta Plšeková,NEKA,"2,543"
Peter Podolay,SMER - SD,"1,695"
Richard Rikkon,SMS,"1,789"
Ľubica Rybárska,NOVA,"2,172"
Peter Senko,NP,490
Rastislav Schlosár,ĽS Naše Slovensko,343
Ladislav Snopko,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","5,878"
František Šebej,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","6,475"
Jana Tanglmayerová,PD,422
František Tanko,SRÚS,254
Andrej Turzo,SNS,768
Pavel Vlček,SOSKA,342
Jozef Vydra,"Zmena zdola, DÚ","1,680"
Tomáš Žiak,SMS,816
,,
Volebný obvod č. 9,,
 , , 
Oskar Dobrovodský,NaS - ns,"1,927"
František Friala,SMER - SD,503
Rastislav Halla,NOVA,467
Marián Haramia,NEKA,"2,306"
Marta Jakubčová,NP,160
Juraj Jurkovič,NOVA,486
Anežka Kujanová,SNS,661
Martin Macejka,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","1,445"
Jozef Maslín,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH",975
