Bratislavský kraj,,, 
,,, 
Bratislava - obvod č. 1,,, 
,,, 
,Štefan Bošnák,7 053, 
,Vladimír Butko,5 218, 
,Bohumil Chmelík,4 872, 
,Jozef Klokner,4 286, 
,,, 
Trenčiansky kraj,,, 
,,, 
Obvod Bánovce nad Bebravou,,, 
,,, 
"ĽS-HZDS, SMER",Peter Bulík,2 336, 
,Richard Makýš,1 503, 
NEKA,Zuzana Máčeková,2 867, 
,,, 
Obvod Ilava,,, 
,,, 
"KDH, SDKÚ-DS",Eva Bočincová,2 213, 
,Juraj Hort,2 009, 
"ĽS-HZDS, SMER",Rastislav Čepák,2 007, 
NEKA,Viliam Cíbik,2 277, 
,Miroslav Staník,2 162, 
,,, 
Obvod Myjava,,, 
,,, 
"ĽS-HZDS, SMER",Henrich Gašparík,1 344, 
NEKA,Pavel Halabrín,1 975, 
,,, 
Obvod Nové Mesto nad Váhom,,, 
,,, 
"KDH, SDKÚ-DS",Juraj Gavač,1 850, 
"ĽS-HZDS, SMER",Jozef Trstenský,3 021, 
,Anna Halinárová,2 575, 
,Dušan Bublavý,2 430, 
,Noman Ehsan,1 689, 
,,, 
Obvod Partizánske,,, 
,,, 
"KDH, SDKÚ-DS",Slavka Súlovská,2 172, 
"ĽS-HZDS, SMER",Jozef Božik,3 818, 
,Iveta Randziaková,2 959, 
,Mária Janíková,2 090, 
,,, 
Obvod Považská Bystrica,,, 
,,, 
"ĽS-HZDS, SMER",Karol Janas,2 160, 
NEKA,Táňa Kňažková,1 924, 
,Viera Zboranová,1 754, 
,Pavol Jurčík,1 491, 
,Miroslav Adame,1 479, 
,,, 
Obvod Prievidza,,, 
,,, 
"KDH, SDKÚ-DS",Eleonóra Porubcová,3 431, 
,Milan Dérer,3 387, 
"ĽS-HZDS, SMER",Ján Cipov,4 613, 
,Štefan Gaman,4 208, 
,Vojtech Čičmanec,3 954, 
,Jozef Stopka,3 656, 
,František Tám,3 621, 
,Štefan Mjartan,3 472, 
NEKA,Katarína Macháčková,5 258, 
,Ladislav Gerlich,3 480, 
,,, 
Obvod Púchov,,, 
,,, 
"ĽS-HZDS, SMER",Miloš Pagáč,2 345, 
,Milan Panáček,2 132, 
