Bratislavský kraj,Volebný obvod č. 1,1,Zuzana,Aufrichtová,42,urbanistka,Bratislava - Staré Mesto,"SaS, OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), KDH, SMK-MKP, NOVA, OKS, Zmena zdola, DÚ"
Bratislavský kraj,Volebný obvod č. 1,2,Pavol,Baxa,59,projektový manager,Bratislava - Staré Mesto,"SaS, OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), KDH, SMK-MKP, NOVA, OKS, Zmena zdola, DÚ"
Bratislavský kraj,Volebný obvod č. 1,3,Ľubica,Blašková,62,vysokoškolská učiteľka,Bratislava - Staré Mesto,NP
Bratislavský kraj,Volebný obvod č. 1,4,Ľubomír,Boháč,60,architekt,Bratislava - Staré Mesto,"SaS, OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), KDH, SMK-MKP, NOVA, OKS, Zmena zdola, DÚ"
Bratislavský kraj,Volebný obvod č. 1,5,Martin,Borguľa,40,občiansky aktivista,Bratislava - Staré Mesto,"MOST - HÍD, SMER-SD, SKOK - ELD, SZ, SDKÚ-DS, STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI"
Bratislavský kraj,Volebný obvod č. 1,6,Jana,Cehláriková,29,štátna zamestnankyňa,Bratislava - Staré Mesto,SNS
Bratislavský kraj,Volebný obvod č. 1,7,Marta,Černá,81,predsedníčka Fóra spotrebiteľov,Bratislava - Staré Mesto,NF
Bratislavský kraj,Volebný obvod č. 1,8,Martin,Gajdoš,39,architekt urbanista,Bratislava - Staré Mesto,NEKA
Bratislavský kraj,Volebný obvod č. 1,9,Michaela,Hornáčková,27,živnostníčka,Bratislava - Staré Mesto,ĽS Naše Slovensko
Bratislavský kraj,Volebný obvod č. 1,10,Miroslav,Hoschek,57,ekonóm,Bratislava - Staré Mesto,NP
Bratislavský kraj,Volebný obvod č. 1,11,Ján,Hraško,54,podnikateľ,Bratislava - Staré Mesto,STRANA MODERNÉHO SLOVENSKA (SMS)
Bratislavský kraj,Volebný obvod č. 1,12,Boris,Kábele,52,živnostník,Bratislava - Staré Mesto,ĽS Naše Slovensko
Bratislavský kraj,Volebný obvod č. 1,13,Gabriel,Kollár,65,ekonóm,Bratislava - Staré Mesto,STRANA MODERNÉHO SLOVENSKA (SMS)
Bratislavský kraj,Volebný obvod č. 1,14,Miroslav,Kollár,68,"vysokoškolský učiteľ, občiansky aktivista",Bratislava - Staré Mesto,NEKA
Bratislavský kraj,Volebný obvod č. 1,15,Ján,Kopas,55,výtvarník,Bratislava - Staré Mesto,KSS
Bratislavský kraj,Volebný obvod č. 1,16,Martin,Kormúth,24,"právnik, ochranár",Bratislava - Staré Mesto,SZS
Bratislavský kraj,Volebný obvod č. 1,17,Milan,Lopašovský,54,farmaceut,Bratislava - Staré Mesto,STRANA MODERNÉHO SLOVENSKA (SMS)
Bratislavský kraj,Volebný obvod č. 1,18,Barbora,Oráčová,45,poslankyňa Starého Mesta,Bratislava - Staré Mesto,NEKA
Bratislavský kraj,Volebný obvod č. 1,19,Jozef,Sivák,72,vedecký pracovník,Bratislava - Staré Mesto,NP
Bratislavský kraj,Volebný obvod č. 1,20,Jana,Španková,53,vicestarostka,Bratislava - Staré Mesto,"MOST - HÍD, SMER-SD, SKOK - ELD, SZ, SDKÚ-DS, STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI"
Bratislavský kraj,Volebný obvod č. 1,21,Radoslav,Števčík,47,starosta Starého Mesta,Bratislava - Staré Mesto,NEKA
Bratislavský kraj,Volebný obvod č. 1,22,Miroslav,Šuňal,45,politológ,Bratislava - Staré Mesto,ĽS Naše Slovensko
Bratislavský kraj,Volebný obvod č. 1,23,Peter,Tatár,64,lekár,Bratislava - Staré Mesto,"MOST - HÍD, SMER-SD, SKOK - ELD, SZ, SDKÚ-DS, STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI"
Bratislavský kraj,Volebný obvod č. 1,24,Marián,Tkáč,38,"podnikateľ, ekonóm",Bratislava - Staré Mesto,SNS
Bratislavský kraj,Volebný obvod č. 1,25,Matej,Vagač,49,občiansky aktivista Bratislava otvorene,Bratislava - Staré Mesto,NEKA
Bratislavský kraj,Volebný obvod č. 1,26,Martin,Valent,59,režisér,Bratislava - Staré Mesto,SZS
Bratislavský kraj,Volebný obvod č. 1,27,Peter,Velčický,46,technický manažér,Bratislava - Staré Mesto,SNS
Bratislavský kraj,Volebný obvod č. 2,1,Igor,Adamec,53,"riaditeľ TVRaRE, s.r.o.",Bratislava - Ružinov,NEKA
Bratislavský kraj,Volebný obvod č. 2,2,Tomáš,Alscher,33,ekonóm,Bratislava - Ružinov,"MOST - HÍD, SMER-SD, SKOK - ELD, SZ, SDKÚ-DS, STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI"
Bratislavský kraj,Volebný obvod č. 2,3,Marián,Andel,67,dôchodca,Bratislava - Ružinov,SNS
Bratislavský kraj,Volebný obvod č. 2,4,Dagmar,Bednáriková,55,daňová poradkyňa,Bratislava - Ružinov,SNS
Bratislavský kraj,Volebný obvod č. 2,5,Sylvia,Beňová,40,generálna riaditeľka sekcie ekonomiky,Bratislava - Ružinov,"MOST - HÍD, SMER-SD, SKOK - ELD, SZ, SDKÚ-DS, STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI"
Bratislavský kraj,Volebný obvod č. 2,6,Kristína,Biháriová,28,invalidná dôchodkyňa,Bratislava - Ružinov,SZSZO
