Bratislavský kraj,,
,,
Bratislava I,,
,,
Juraj Hanzen,"HZD,SF,SMER",1 959
Anna Fašungová,"HZD,SF,SMER",1 870
Gabriela Šedová,"ANO,DS,SDKÚ,SMK-MKP,SZS",1 855
Ľubica Navrátilová,"HZD,SF,SMER",1 851
Gabriel Kosnáč,KDH,1 848
Marian Kollár,NEKA,1 842
Alena Tobiašová,"ANO,DS,SDKÚ,SMK-MKP,SZS",1 817
Marián Bóna,"ANO,DS,SDKÚ,SMK-MKP,SZS",1 814
Jozef Harvančík,KDH,1 744
Peter Rajkovič,KDH,1 734
Branislav Opaterný,"HZD,SF,SMER",1 711
Pavel Derkay,"ANO,DS,SDKÚ,SMK-MKP,SZS",1 707
Lukáš Baňacký,KDH,1 614
Otto Michalička,KDH,1 520
Vladimír Šujan,"HZD,SF,SMER",1 488
Pavel Sadloň,VPRED,1 377
Richard Wölfl,"HZD,SF,SMER",1 332
Anton Vrtiel,"ANO,DS,SDKÚ,SMK-MKP,SZS",1 325
Vladimír Mráz,NF,1 220
Eva Vargová,NF,1 171
Roman Csabay,NEKA,1 120
Milan Galanda,VPRED,942
Eva Horvátová,VPRED,940
Ján Černák,"ĽS-HZDS,P SNS,ZSNS",917
Karol Ondriaš,KSS,887
Vladimír Kubovič,SNS,851
Anna Borguľová,"ĽS-HZDS,P SNS,ZSNS",833
Miroslav Rác,"ĽS-HZDS,P SNS,ZSNS",812
Marián Šrámek,OKS,807
Peter Baďura,KSS,794
Michal Klimik,"ĽS-HZDS,P SNS,ZSNS",774
Jarmila Demková,SNS,761
Tomáš Ferenčák,OKS,721
Juraj Petrovič,OKS,672
Peter Buzáš,OKS,668
Peter Grom,SNS,636
Vladimír Lazor,KSS,616
Anna Kremmerová,"ĽS-HZDS,P SNS,ZSNS",580
Ivan Šimko,Misia 21,553
Helena Wagnerová,OKS,548
Monika Borguľová,SNS,539
Štefan Štefík,VPRED,529
Andrej Paroš,KSS,493
Eva Vaňová,SNS,469
Pavol Paštinský,SNS,424
Martin Vician,OL,393
Slavomír Ryška,SNS,369
Milan Šandor,ZRS,293
Viliam Mokráň,KĽS,208
Oľga Bobovnícka,SNJ,180
Dušan Baník,Misia 21,162
Mária Tóthová,ĽS,140
Štefan Petrovič,SĽS,122
,,
Bratislava V,,
,,
Dušan Figel,"ANO,DS,SDKÚ,SMK-MKP,SZS",2 192
Roman Vavrík,"ANO,DS,SDKÚ,SMK-MKP,SZS",2 173
Stanislav Janota,KDH,2 118
Ernest Huska,"ANO,DS,SDKÚ,SMK-MKP,SZS",2 052
Roman Masár,"HZD,SF,SMER",2 039
Ján Brezák,"ANO,DS,SDKÚ,SMK-MKP,SZS",2 031
Marián Dragúň,KDH,2 028
Augustín Arnold,"HZD,SF,SMER",2 012
Ján Krajniak,"ANO,DS,SDKÚ,SMK-MKP,SZS",1 941
Tibor Beke,"ANO,DS,SDKÚ,SMK-MKP,SZS",1 906
Michal Radosa,"ANO,DS,SDKÚ,SMK-MKP,SZS",1 835
Vladimír Kuchta,"ANO,DS,SDKÚ,SMK-MKP,SZS",1 834
Stanislav Fiala,KDH,1 710
Anton Brath,KDH,1 704
